BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, +ACM- beacons, +ACM- IV, LAN IP, ID+AC0-length, ESSID, Key,
70:2E:22:72:C7:E5, 2018+AC0-02+AC0-28 18:26:39, 2018+AC0-02+AC0-28 18:27:25,+AC0-1,54, WPA2WPA , CCMP TKIP,PSK,+AC0-85,6,0,   0.  0.  0.  0,12, Hasan Jas'an, ,
AC:22:05:F2:38:7C, 2018+AC0-02+AC0-28 18:27:13, 2018+AC0-02+AC0-28 18:27:25,56,54, WPA2WPA , CCMP TKIP,PSK,+AC0-86,5,0,   0.  0.  0.  0,5, LS+AF8-KN, ,
54:67:51:E4:9C:C0, 2018+AC0-02+AC0-28 18:27:25, 2018+AC0-02+AC0-28 18:27:25,100,54, WPA2WPA , CCMP TKIP,PSK,+AC0-87,2,0,   0.  0.  0.  0,8, MPM+AC0-WIFI, ,
5C:A3:9D:EF:04:60, 2018+AC0-02+AC0-28 18:27:23, 2018+AC0-02+AC0-28 18:27:24,36,54, WPA2, CCMP TKIP,PSK,+AC0-87,3,0,   0.  0.  0.  0,12, UPC503482334, ,
1C:3A:DE:E9:53:DC, 2018+AC0-02+AC0-28 18:27:13, 2018+AC0-02+AC0-28 18:27:25,56,54, WPA2, CCMP,PSK,+AC0-87,6,0,   0.  0.  0.  0,12, HZN509198249, ,
38:FF:36:15:71:2C, 2018+AC0-02+AC0-28 18:26:28, 2018+AC0-02+AC0-28 18:27:26,112,54, OPN ,       ,   ,+AC0-87,7,11,  10.  2. 15.254,13, EHV FREE WIFI, ,
28:FF:3E:30:21:A1, 2018+AC0-02+AC0-28 18:27:02, 2018+AC0-02+AC0-28 18:27:26,+AC0-1,54, WPA2WPA , CCMP TKIP,PSK,+AC0-87,6,0,   0.  0.  0.  0,20, Broodje Smits prive., ,
D4:6E:0E:34:08:D0, 2018+AC0-02+AC0-28 18:27:12, 2018+AC0-02+AC0-28 18:27:24,40,54, WPA2WPA , CCMP,PSK,+AC0-88,3,0,   0.  0.  0.  0,15, TP+AC0-LINK+AF8-08CF+AF8-5G, ,
02:9F:C2:F5:95:FC, 2018+AC0-02+AC0-28 18:27:12, 2018+AC0-02+AC0-28 18:27:24,44,54, OPN ,       ,   ,+AC0-88,2,0,   0.  0.  0.  0,13, 1910 (Guests), ,
7C:39:53:C1:0C:A9, 2018+AC0-02+AC0-28 18:26:50, 2018+AC0-02+AC0-28 18:27:13,56,54, WPA2, CCMP,PSK,+AC0-80,7,1,   0.  0.  0.  0,8, TrueBlue, ,
1C:3A:DE:E5:58:22, 2018+AC0-02+AC0-28 18:27:13, 2018+AC0-02+AC0-28 18:27:13,56,54, WPA2, CCMP,PSK,+AC0-81,3,0,   0.  0.  0.  0,12, HZN501069942, ,
54:67:51:9C:37:B0, 2018+AC0-02+AC0-28 18:27:01, 2018+AC0-02+AC0-28 18:27:13,60,54, WPA2, CCMP,PSK,+AC0-82,4,0,   0.  0.  0.  0,12, Ziggo87CC66F, ,
90:5C:44:1D:36:1C, 2018+AC0-02+AC0-28 18:27:14, 2018+AC0-02+AC0-28 18:27:14,112,54, WPA2, CCMP,PSK,+AC0-83,1,1,   0.  0.  0.  0,12, Ziggo8549E3F, ,
90:5C:44:CA:2F:76, 2018+AC0-02+AC0-28 18:27:14, 2018+AC0-02+AC0-28 18:27:14,100,54, WPA2, CCMP,PSK,+AC0-84,3,1,   0.  0.  0.  0,12, ZiggoB5CB542, ,
AC:22:05:63:AB:2A, 2018+AC0-02+AC0-28 18:26:51, 2018+AC0-02+AC0-28 18:27:15,112,54, WPA2, CCMP,PSK,+AC0-84,5,0,   0.  0.  0.  0,12, ZiggoF662F57, ,
